Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors,Source
us,yoga retreats,,,,,,8100,58,1.16,0.24,19200000,Commercial,"AI Overview, Local Pack, Site Links, Video, Adwords Bottom, Related Searches, Things To Know, Discussions And Forums","0.36,0.54,0.54,0.54,0.66,0.54,0.81,0.54,1.00,0.66,0.66,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats near me,,,,,,2400,66,0.74,0.41,12200000,Transactional,"People Also Ask, Related Searches, Discussions And Forums, Local Pack, Video","0.66,0.52,0.66,0.52,1.00,1.00,1.00,0.66,0.66,0.52,0.80,0.52",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat california,,,,,,720,26,0.64,0.44,11600000,Commercial,"Local Pack, Site Links, Video, Related Searches, Discussions And Forums","0.55,0.36,0.55,0.45,0.62,0.55,0.55,0.36,0.30,0.45,0.45,0.36",20.0,,,boookretreatyogaretreatkeywoord
us,women's yoga retreat,,,,,,720,23,0.91,0.04,11700000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches, Discussions And Forums","0.08,0.08,0.16,0.66,0.54,0.24,0.79,0.24,0.02,1.00,0.79,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat bali,,,,,,880,50,1.05,0.43,6350000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Knowledge Panel, Site Links","1.00,0.55,0.55,0.55,0.81,0.45,0.45,0.36,0.30,0.45,0.24,0.24",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat florida,,,,,,480,11,0.59,0.27,5830000,Commercial,"Video, Related Searches, Local Pack, Site Links","0.30,0.24,0.20,0.24,0.36,0.20,0.36,0.30,0.24,0.30,0.36,0.45",20.0,,,boookretreatyogaretreatkeywoord
us,best yoga retreats,,,,,,480,31,1.28,0.45,0,Commercial,"Video, Adwords Bottom, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.36,0.24,0.24,0.24,0.30,0.24,0.30,0.24,0.24,0.20,0.55,0.30",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat colorado,,,,,,390,24,0.61,0.31,3280000,Informational,"Knowledge Panel, Video, Related Searches, Discussions And Forums, AI Overview","0.54,0.44,0.54,0.44,0.67,0.54,0.54,0.36,0.29,0.29,0.36,0.29",70.0,,,boookretreatyogaretreatkeywoord
us,sedona yoga retreat,,,,,,390,16,0.84,0.59,555000,Commercial,"Image, People Also Ask, Related Searches, Discussions And Forums, Local Pack, Site Links, Video","0.66,0.19,0.15,0.44,1.00,0.36,0.66,0.44,0.54,0.36,0.54,1.00",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat canaries,,,,,,390,21,0.51,0.05,0,Commercial,"Local Pack, Video, Image, Related Searches","0.04,0.06,0.04,0.06,0.05,0.04,0.06,0.30,1.00,0.04,0.01,0.01",90.0,,,boookretreatyogaretreatkeywoord
us,book yoga retreats,,,,,,390,26,1.65,0.54,12700000,Informational,"Site Links, Video, Adwords Top, Adwords Bottom, Related Searches, Discussions And Forums","0.54,0.54,0.66,0.54,0.66,0.54,0.66,0.35,0.66,0.66,0.81,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat hawaii,,,,,,390,26,0.9,0.41,119,Commercial,"Related Searches, Local Pack, Site Links, Video, Image","0.36,0.30,0.24,0.20,0.30,0.30,0.24,0.24,0.24,0.24,0.30,0.24",20.0,,,boookretreatyogaretreatkeywoord
